,accommodates,price,host_total_listings_count,review_scores_rating,latitude,longitude,availability_365,distance_to_center,instant_bookable,room_type
370,1.0,127.0,1.0,4.68,40.78221,-73.98357,365,7.954038263106545,f,Private room
375,2.0,225.0,1.0,4.87,40.73431,-74.00225,179,2.4206831102003683,f,Entire home/apt
376,4.0,428.0,40.0,4.83,40.73778,-73.95366,60,5.217731832180727,f,Entire home/apt
377,4.0,428.0,40.0,4.82,40.73778,-73.95366,58,5.217731832180727,f,Entire home/apt
378,4.0,428.0,40.0,4.79,40.73778,-73.95366,57,5.217731832180727,f,Entire home/apt
379,4.0,428.0,40.0,4.85,40.73778,-73.95366,57,5.217731832180727,f,Entire home/apt
380,4.0,428.0,40.0,4.89,40.73778,-73.95366,60,5.217731832180727,f,Entire home/apt
382,4.0,435.0,2.0,4.77,40.65914535522461,-73.95812225341797,306,7.197697663031098,f,Entire home/apt
383,5.0,300.0,14.0,4.89,40.68561,-73.98919,352,3.3323337764335723,f,Entire home/apt
384,6.0,190.0,3.0,4.78,40.67128,-73.94307,250,7.028871554627891,f,Entire home/apt
385,2.0,164.0,1.0,4.93,40.71294,-73.94461,179,5.175556903304223,f,Private room
387,3.0,138.0,4.0,4.64,40.72292,-73.94577,336,5.202292899173507,f,Entire home/apt
388,4.0,125.0,1.0,4.71,40.66481,-73.97776,217,5.836588072169501,f,Entire home/apt
389,3.0,150.0,1.0,4.74,40.76456,-73.91749,364,9.425766374527106,f,Entire home/apt
390,4.0,246.0,2.0,4.96,40.74311,-73.98303,325,3.894150764737732,f,Entire home/apt
392,2.0,375.0,2.0,4.91,40.79131,-73.9694,195,9.266271845866349,f,Entire home/apt
394,2.0,50.0,6.0,4.66,40.68435,-73.94825,169,5.802730226240394,f,Private room
396,7.0,136.0,3.0,4.53,40.66646,-73.89254,365,10.863074242986137,t,Entire home/apt
397,1.0,55.0,5.0,4.92,40.80692,-73.95481,326,11.32684521275153,f,Private room
399,9.0,283.0,42.0,4.63,40.80752,-73.94778,324,11.625702251907756,f,Entire home/apt
401,2.0,343.0,2.0,4.93,40.8341081,-73.93948379999999,334,14.613424578327358,t,Entire home/apt
405,2.0,144.0,4.0,4.86,40.68566,-73.96781,119,4.408222716971937,t,Entire home/apt
406,4.0,122.0,1.0,4.52,40.67322,-73.88109,243,11.41186084859102,f,Entire home/apt
407,3.0,145.0,3.0,4.96,40.66902,-73.98884,273,5.071261242242422,f,Entire home/apt
409,7.0,200.0,42.0,3.43,40.8058,-73.94759,315,11.45947597115852,f,Entire home/apt
410,9.0,300.0,42.0,4.5,40.80528,-73.94742,298,11.413476513759518,f,Entire home/apt
411,1.0,75.0,1.0,4.67,40.77298,-73.95813,312,7.820516330876093,f,Private room
412,2.0,150.0,1.0,4.5,40.79675,-73.93634,88,11.033191741500826,f,Entire home/apt
413,10.0,283.0,42.0,4.71,40.8073,-73.94575,328,11.676831255272946,f,Entire home/apt
414,9.0,350.0,42.0,4.63,40.80557,-73.94801,315,11.421211507119377,f,Entire home/apt
415,2.0,169.0,1.0,4.6,40.70674,-73.91959,89,7.315006359857694,f,Private room
416,1.0,64.0,5.0,4.2,40.82359,-73.94601,274,13.322825181577885,f,Private room
417,1.0,64.0,5.0,4.26,40.82295,-73.94433,295,13.311587361894135,f,Private room
418,2.0,156.0,1.0,4.91,40.69533,-73.96058,327,4.2908509825701655,f,Private room
420,2.0,121.0,1.0,4.72,40.73216,-73.98678,306,2.7011794776288984,f,Private room
421,1.0,87.0,1.0,4.97,40.80272,-73.95316,169,10.952260040850225,f,Private room
424,2.0,211.0,2.0,4.86,40.83249,-73.94466,236,14.28406169792193,f,Entire home/apt
425,2.0,140.0,2.0,4.69,40.65712,-73.96105,59,7.253192755028861,f,Entire home/apt
426,2.0,55.0,5.0,4.75,40.71559,-73.94289,215,5.3298752893914445,f,Private room
427,6.0,454.0,2.0,5.0,40.66943,-73.98188,268,5.226897022085683,f,Entire home/apt
428,4.0,72.0,2.0,4.73,40.699,-73.90295,147,8.820791156495192,f,Entire home/apt
430,2.0,518.0,2.0,4.54,40.78935,-73.97225,178,8.982180727816921,f,Entire home/apt
432,1.0,100.0,1.0,4.0,40.73958,-73.98143,274,3.6341518147378955,f,Private room
433,2.0,202.0,4.0,4.77,40.68884,-73.9644,177,4.4003062167130516,f,Private room
434,2.0,418.0,2.0,4.96,40.68687,-73.97074,274,4.136468988176552,f,Private room
435,1.0,113.0,2.0,5.0,40.74709,-73.92056,364,8.151629700640491,f,Entire home/apt
436,2.0,49.0,6.0,4.71,40.68476,-73.94867,305,5.748243299121136,f,Private room
438,4.0,400.0,3.0,5.0,40.68739,-73.9897,358,3.135251324022659,f,Entire home/apt
439,1.0,103.0,7.0,4.83,40.68104,-73.97548,365,4.363743211321777,f,Private room
440,1.0,143.0,1.0,4.83,40.67379,-73.96623,365,5.476999340608018,f,Private room
443,2.0,802.0,1.0,4.94,40.66609,-73.98472,363,5.487944507842599,f,Entire home/apt
444,2.0,160.0,1.0,4.98,40.7149363238612,-73.96085072130779,267,3.8145171413583974,f,Private room
445,2.0,72.0,1.0,4.85,40.64885,-73.97453,365,7.582905006164486,f,Private room
446,2.0,253.0,1.0,4.8,40.7769,-73.97671,269,7.55059879108511,f,Entire home/apt
447,2.0,114.0,3.0,4.52,40.6882557,-73.9638332,300,4.477690672001887,t,Private room
450,2.0,120.0,1.0,4.6,40.86909,-73.9239,99,18.7105278899249,f,Entire home/apt
452,2.0,227.0,2.0,4.67,40.73491,-74.0058,149,2.466581411193757,f,Entire home/apt
