id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
105469,114.0,1,Private room,1.0,1.0,1.0,Queens,30,False,4.93,False,2.0,88,40.58603,-73.8145,NYC
106363,77.0,1,Private room,1.0,1.0,1.5,Manhattan,30,False,4.87,True,4.0,259,40.82772,-73.95284,NYC
106647,181.0,4,Entire home/apt,2.0,3.0,1.0,Brooklyn,30,False,4.89,True,3.0,95,40.68647,-73.95862,NYC
189135,180.0,2,Private room,1.0,2.0,1.0,Manhattan,2,False,4.78,True,2.0,59,40.76263,-73.99401,NYC
190974,130.0,2,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.7,False,1.0,354,40.66836,-73.98166,NYC
191610,134.0,2,Private room,1.0,1.0,1.0,Manhattan,2,True,4.66,True,3.0,203,40.74697296939259,-74.00178397023312,NYC
195123,76.0,2,Private room,1.0,1.0,1.5,Manhattan,30,False,4.6,False,2.0,365,40.83338,-73.94326,NYC
195240,60.0,1,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.66,False,3.0,88,40.65468,-73.95721,NYC
106906,221.0,2,Entire home/apt,2.0,2.0,1.0,Brooklyn,50,False,4.9,False,2.0,103,40.68615,-73.96769,NYC
107630,175.0,3,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.76,False,4.0,105,40.72741,-73.95466,NYC
112435,95.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.63,False,5.0,365,40.69132,-73.97306,NYC
113265,60.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.75,True,4.0,297,40.67582,-73.9518,NYC
115535,58.0,1,Private room,1.0,1.0,1.0,Manhattan,30,False,4.76,False,3.0,303,40.82402,-73.95263,NYC
195989,133.0,2,Private room,1.0,1.0,1.0,Brooklyn,3,False,4.93,False,2.0,9,40.6767158,-73.9818207,NYC
